provider_id,facility_id,provider_name,district_id,facility_type,accreditation_body,accreditation_status,accreditation_level,last_survey_date,expiry_date,accreditation_score,corrective_action_count,specialty_scope,snapshot_date,days_to_expiry,accreditation_risk_band
P0001,F001,North Borough General Hospital,D01,Hospital,National Health Standards Board,Accredited,Level A,2024-02-07,2026-02-06,93.4,0,"Acute care, emergency, inpatient quality, discharge safety",2025-06-30,221,Medium
P0002,F002,Northgate Community Clinic,D01,Community Clinic,Public Clinic Quality Commission,Accredited,Level A,2024-03-01,2026-03-01,92.6,0,"Primary care, preventive services, outreach, chronic care",2025-06-30,244,Medium
P0003,F003,East River Medical Center,D02,Hospital,National Health Standards Board,Corrective Action,Conditional,2024-03-24,2025-09-25,75.5,4,"Acute care, emergency, inpatient quality, discharge safety",2025-06-30,87,High
P0004,F004,Riverside Urgent Care,D02,Urgent Care,Emergency Care Accreditation Council,Provisional,Level C,2024-04-16,2026-01-16,83.6,2,"Urgent care, triage safety, diagnostics, referral management",2025-06-30,200,Medium
P0005,F005,Central City Health Campus,D03,Hospital,National Health Standards Board,Provisional,Level C,2024-05-09,2026-02-08,83.7,2,"Acute care, emergency, inpatient quality, discharge safety",2025-06-30,223,Medium
P0006,F006,Downtown Preventive Health Center,D03,Community Clinic,Public Clinic Quality Commission,Provisional,Level C,2024-06-01,2026-03-03,81.4,2,"Primary care, preventive services, outreach, chronic care",2025-06-30,246,High
P0007,F007,South Lakes Regional Hospital,D04,Hospital,National Health Standards Board,Accredited,Level A,2024-06-24,2026-06-24,96.5,0,"Acute care, emergency, inpatient quality, discharge safety",2025-06-30,359,Medium
P0008,F008,Lakeview Community Clinic,D04,Community Clinic,Public Clinic Quality Commission,Accredited,Level A,2024-07-17,2026-07-17,93.2,0,"Primary care, preventive services, outreach, chronic care",2025-06-30,382,Watch
P0009,F009,West Hills Hospital,D05,Hospital,National Health Standards Board,Accredited,Level B,2024-08-09,2026-06-25,91.9,1,"Acute care, emergency, inpatient quality, discharge safety",2025-06-30,360,Medium
P0010,F010,Hillcrest Urgent Care,D05,Urgent Care,Emergency Care Accreditation Council,Accredited,Level B,2024-09-01,2026-07-18,88.2,1,"Urgent care, triage safety, diagnostics, referral management",2025-06-30,383,Medium
